t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1788375057457,0.0000,0.0000,0.0000,0.0000,0.0000,default
1788375057531,0.0780,0.0000,0.0000,0.0000,0.0000,default
1788375057565,0.0807,0.0000,0.0000,0.0000,0.0000,default
1788375057598,0.0717,0.0000,0.0000,0.0000,0.0000,default
1788375057630,0.0782,0.0000,0.0000,0.0000,0.0000,default
1788375057663,0.0551,0.0000,0.0000,0.0000,0.0000,default
1788375057695,0.1126,0.0000,0.0000,0.0000,0.0000,default
1788375057729,0.1810,0.0000,0.0000,0.0000,0.0000,default
1788375057762,0.0730,0.0000,0.0000,0.0000,0.0000,default
1788375057796,0.0903,0.0000,0.0000,0.0000,0.0000,default
1788375057830,0.0664,0.0000,0.0000,0.0000,0.0000,default
1788375057865,0.0873,0.0000,0.0000,0.0000,0.0000,default
1788375057900,0.0904,0.0000,0.0000,0.0000,0.0000,default
1788375057932,0.1076,0.0000,0.0000,0.0000,0.0000,default
1788375057965,0.1064,0.0000,0.0000,0.0000,0.0000,default
1788375057997,0.1024,0.0000,0.0000,0.0000,0.0000,default
1788375058029,0.0931,0.0000,0.0000,0.0000,0.0000,default
1788375058069,0.0723,0.0000,0.0000,0.0000,0.0000,default
1788375058107,0.0786,0.0000,0.0000,0.0000,0.0000,default
1788375058141,0.0968,0.0000,0.0000,0.0000,0.0000,default
1788375058179,0.0788,0.0000,0.0000,0.0000,0.0000,default
1788375058217,0.0936,0.0000,0.0000,0.0000,0.0000,default
1788375058253,0.1027,0.0000,0.0000,0.0000,0.0000,default
1788375058284,0.1359,0.0000,0.0000,0.0000,0.0000,default
1788375058319,0.1827,0.0000,0.0000,0.0000,0.0000,default
1788375058362,0.3132,0.8382,0.2625,0.0000,0.2625,default
1788375058411,0.5373,0.8846,0.4753,0.0000,0.4753,default
1788375058477,0.1253,0.0000,0.0000,0.0000,0.4753,default
1788375058527,0.0984,0.0000,0.0000,0.0000,0.4753,default
1788375058573,0.0734,0.0000,0.0000,0.0000,0.4753,default
1788375058623,0.1991,0.0000,0.0000,0.0000,0.4753,default
1788375058684,0.0844,0.0000,0.0000,0.0000,0.4753,default
1788375058728,0.0471,0.0000,0.0000,0.0000,0.4753,default
1788375058773,0.0449,0.0000,0.0000,0.0000,0.4753,default
1788375058848,0.0452,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375058895,0.0856,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375058939,0.0370,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375058990,0.0329,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059034,0.0329,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059087,0.0334,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059139,0.0447,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059183,0.0256,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059237,0.0244,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059289,0.0346,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059338,0.0182,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059387,0.0189,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059432,0.0207,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059474,0.0229,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059522,0.0270,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059565,0.0228,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059609,0.0688,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059658,0.0288,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059709,0.0262,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059753,0.0272,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059797,0.0280,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059844,0.0230,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059893,0.0339,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059937,0.0849,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375059982,0.0443,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060028,0.0552,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060073,0.0675,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060114,0.0637,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060160,0.0574,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060208,0.0380,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060258,0.0342,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060306,0.1225,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060354,0.0458,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060399,0.0387,0.0000,0.0000,0.0000,0.4753,oneFingerUp
1788375060444,0.0405,0.0000,0.0000,0.0000,0.0000,oneFingerUp
1788375060488,0.0344,0.0000,0.0000,0.0000,0.0000,oneFingerUp
1788375060536,0.0402,0.0000,0.0000,0.0000,0.0000,oneFingerUp
1788375060591,0.0607,0.0000,0.0000,0.0000,0.0000,oneFingerUp
